RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,Marital Status,Income,Education Level,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited 
2351,28646764,617,Brisbane,Female,58,3,119024.75,Single,58271.67,Diploma,2,1,0,35199.24,1
2352,28678284,651,Perth,Male,35,7,74623.5,Single,6016.23,Bachelors,3,1,0,129451.29,1
2353,28726791,637,Melborne,Female,45,2,157929.45,Single,33275.35,Masters,1,1,1,145134.49,1
2354,28813144,554,Perth,Female,26,7,92606.86,Divorced,72635.47,Diploma,2,1,0,192709.69,0
2355,28669342,731,Brisbane,Male,35,2,127862.93,Single,31237.2,Masters,2,1,0,139083.7,0
2356,28710366,569,Melborne,Female,42,1,0,Divorced,52397.77,Masters,1,1,1,83629.6,1
2357,28614934,625,Brisbane,Female,37,4,142711.81,Married,29758.92,Masters,1,1,0,35625.41,0
2358,28588701,592,Perth,Female,38,4,0,Single,71225.02,Diploma,2,1,0,35338.96,0
2359,28665438,669,Perth,Male,43,1,163159.85,Single,21490.25,Bachelors,1,0,1,15602.8,0
2360,28644896,663,Brisbane,Male,32,3,108586.86,Married,5595.84,Bachelors,1,1,1,182355.21,0
2361,28670205,518,Brisbane,Female,41,5,110624.99,Divorced,95136.48,Bachelors,1,1,0,89327.67,0
2362,28635776,686,Brisbane,Female,43,5,154846.24,Single,64540.22,Bachelors,2,1,1,151903.6,0
2363,28791053,709,Brisbane,Male,45,4,122917.71,Married,14798.47,Bachelors,1,1,1,11.58,1
2364,28644005,571,Perth,Female,33,9,0,Divorced,16600.09,Masters,2,0,1,77519.62,0
2365,28796343,707,Perth,Female,31,2,82787.93,Single,44381.55,Masters,2,0,0,91423.69,0
2366,28751057,,Brisbane,Male,32,5,102500.34,Married,20427.22,Bachelors,1,0,,106287.77,0
2367,28623430,672,Perth,Male,34,9,0,Single,63586.3,Bachelors,2,1,0,161800.77,0
2368,28682600,620,Brisbane,Male,39,9,159492.79,Single,38047.21,Masters,1,1,0,80582.34,1
2369,28769312,557,Melborne,Male,48,10,0,Married,93125.08,Masters,2,1,1,185094.48,0
2370,28708212,648,Melborne,Female,54,7,118241.02,Single,48632.93,Masters,1,1,0,172586.89,1
2371,28650258,479,Perth,Female,35,2,113090.4,Divorced,84858.79,Bachelors,1,1,0,195649.79,0
2372,28604345,730,Perth,Female,22,9,65763.57,Single,89023.08,Diploma,1,1,1,145792.01,0
2373,28578297,737,Brisbane,Female,43,1,125537.38,Single,48709.43,Bachelors,1,1,0,138510.01,1
2374,28671789,616,Perth,Male,31,3,94263.91,Single,16798.58,Diploma,2,1,0,168895.06,0
2375,28726186,639,Melborne,Male,29,4,133434.57,Married,41299.92,Bachelors,2,1,0,97983.44,0
2376,28764618,815,Melborne,Female,39,6,0,Married,34847.51,Masters,1,1,1,85167.88,0
2377,28730738,786,Melborne,Male,31,9,0,Single,77298.95,Bachelors,2,1,1,18210.36,0
2378,28637650,549,Perth,Male,50,9,94748.76,Divorced,63554.05,Bachelors,2,0,1,13608.18,0
2379,28606267,622,Perth,Female,38,4,98640.74,Single,55722.28,Masters,1,1,1,110457.99,0
2380,28625904,624,Perth,Male,26,9,74681.9,Married,86874.68,Bachelors,2,0,0,31231.35,0
2381,28654463,841,Perth,Male,34,4,0,Divorced,98695.51,Diploma,2,1,0,141582.66,0
2382,28774281,614,Melborne,Female,41,7,179915.85,Single,63322.39,Bachelors,1,0,0,14666.35,1
2383,28693259,676,Perth,Male,30,1,128207.23,Divorced,91855.59,Bachelors,1,1,1,55400.17,0
2384,28642468,697,Perth,Male,42,9,132739.26,Married,40096.57,Bachelors,2,0,0,174667.65,0
2385,28758531,732,Perth,Female,40,10,0,Married,28203.4,Bachelors,2,1,0,154189.08,0
2386,28728352,623,Perth,Male,27,4,120509.81,Divorced,76814.96,Diploma,1,0,0,142170.44,0
2387,28637240,541,Perth,Male,46,4,124547.13,Married,74458.43,Diploma,2,1,0,94499.06,0
2388,28595588,773,Melborne,Female,39,4,0,Single,8372.55,Bachelors,2,0,1,182081.45,0
2389,28778395,762,Brisbane,Male,34,4,88815.56,Married,72258.66,Diploma,2,1,0,68562.26,1
2390,28711825,655,Melborne,Female,35,1,82231.51,Divorced,97037.98,Diploma,2,1,0,88798.02,0
2391,28599251,602,Brisbane,Male,32,7,184715.86,Single,41963.89,Bachelors,2,1,0,113781.99,0
2392,28570004,850,Perth,Male,31,3,0,Divorced,65921.65,Diploma,2,1,0,121866.87,0
2393,28656912,649,Melborne,Male,51,4,0,Divorced,80972.86,Diploma,1,1,1,150390.57,0
2394,28657342,850,Brisbane,Male,28,4,147972.19,Married,91823.65,Bachelors,1,1,0,60708.72,1
2395,28716284,543,Perth,Male,43,9,0,Single,68931.03,Diploma,2,1,1,78858.07,0
2396,28672374,672,Perth,Male,52,8,170008.84,Single,36818.66,Masters,1,0,0,56407.42,1
2397,28732476,600,Perth,Female,27,3,0,Divorced,16620.44,Bachelors,2,0,1,125698.97,0
2398,28747724,671,Melborne,Female,34,10,0,Single,79491.37,Masters,1,1,0,23235.38,0
2399,28633877,706,Melborne,Female,42,8,95386.82,Single,58302.91,Masters,1,1,1,75732.25,0
2400,28672516,541,Brisbane,Male,51,7,90373.28,Divorced,40786.95,Bachelors,2,1,0,179861.79,0
2401,28607827,711,Brisbane,Male,34,4,133467.77,Married,97013.45,Diploma,2,1,1,42976.64,0
2402,28751336,630,Melborne,Male,30,3,0,Single,33005.79,Bachelors,2,0,1,10486.69,0
2403,28646539,531,Perth,Male,31,3,96288.26,Divorced,14327.75,Bachelors,1,1,0,56794.73,0
2404,28756901,641,Perth,Female,26,4,91547.84,Divorced,59931.29,Bachelors,2,0,1,28157.34,0
2405,28809286,631,Brisbane,Male,37,8,138292.64,Single,98848.48,Bachelors,2,0,0,152422.91,1
2406,28759021,685,Perth,Male,35,9,0,Married,35519.5,Bachelors,1,1,0,167033.83,0
2407,28725039,702,Melborne,Male,32,8,71667.74,Divorced,91578.82,Diploma,1,1,1,126082.18,0
2408,28579130,708,Brisbane,Female,43,0,118994.84,Single,64061.94,Diploma,1,1,0,181499.77,1
2409,28754112,653,Melborne,Male,55,7,0,Married,5139.61,Masters,2,1,1,41967.03,0
2410,28735522,654,Brisbane,Male,37,2,145610.07,Single,17995.82,Bachelors,2,0,0,186300.59,0
2411,28613326,596,Perth,Female,33,1,138162.81,Single,62329.84,Diploma,1,1,0,85412.54,0
2412,28739502,549,Brisbane,Female,31,9,135020.21,Divorced,51666.57,Bachelors,2,1,1,23343.18,0
2413,28670914,754,Perth,Male,38,2,0,Single,39990.4,Diploma,2,1,0,180698.32,0
2414,28604073,815,Brisbane,Female,25,8,135161.67,Married,20340.66,Masters,1,1,1,136071.05,0
2415,28806027,556,Perth,Female,52,9,0,Married,62321.62,Diploma,1,1,0,175149.2,1
2416,28574886,706,Perth,Male,32,6,94486.47,Single,93174.43,Masters,1,1,1,146949.74,0
2417,28707120,850,Perth,Male,46,9,117640.39,Divorced,11679.04,Diploma,1,1,0,88920.68,0
2418,28800845,732,Melborne,Female,33,8,111379.55,Single,77904.5,Diploma,1,1,1,45098.62,0
2419,28603914,614,Perth,Male,40,6,0,Married,33711.13,Diploma,1,1,1,20339.79,1
2420,28722765,580,Melborne,Female,57,0,136820.99,Married,44657.25,Bachelors,1,0,1,108528.74,0
2421,28783305,593,Perth,Female,46,7,98752.51,Single,99681.09,Bachelors,1,1,0,145560.38,0
2422,28574842,653,Brisbane,Female,25,2,158266.42,Single,7166.58,Masters,3,1,1,199357.24,0
2423,28607837,746,Perth,Female,29,4,105599.67,Divorced,32114.65,Bachelors,1,1,1,43106.17,0
2424,28714877,662,Perth,Female,29,10,0,Married,92742.07,Bachelors,2,1,0,137508.31,0
2425,28782941,573,Perth,Male,31,2,0,Single,6681.42,Bachelors,2,1,1,91957.39,0
2426,28630167,684,Melborne,Female,39,4,139723.9,Divorced,26235.02,Bachelors,1,1,1,120612.11,0
2427,28759038,793,Perth,Female,41,3,141806.46,Married,71391.53,Bachelors,1,1,0,102921.17,0
2428,28661821,798,Brisbane,Female,49,5,132571.67,Divorced,63280.97,Masters,1,1,1,31686.33,1
2429,28728006,524,Perth,Male,40,2,180516.9,Single,55863.23,Bachelors,1,1,0,180002.42,0
2430,28712176,816,Perth,Male,31,8,0,Married,47375.22,Diploma,2,1,1,28407.4,0
2431,28689351,742,Brisbane,Female,41,4,92805.72,Single,73361.07,Diploma,1,0,1,73743.95,1
2432,28782247,540,Perth,Male,22,4,0,Single,89339.16,Bachelors,3,1,1,186233.26,1
2433,28769064,537,Brisbane,Male,39,3,135309.36,Married,23963.8,Diploma,1,1,0,31728.86,1
2434,28718283,759,Melborne,Female,74,6,128917.84,Divorced,71893.28,Masters,1,1,1,48244.64,0
2435,28613189,774,Perth,Female,52,2,56580.93,Married,58218.53,Diploma,1,1,0,113266.28,1
2436,28661734,608,Brisbane,Male,42,8,131390.75,Single,92461.58,Bachelors,2,1,0,71178.09,0
2437,28592645,704,Melborne,Male,37,4,0,Single,17587.99,Bachelors,2,0,0,25684.93,0
2438,28768387,581,Perth,Male,41,8,0,Married,44323.77,Diploma,2,0,0,29737.14,0
2439,28792525,628,Brisbane,Female,61,1,97361.66,Married,34640.94,Masters,1,1,1,149922.38,1
2440,28586976,566,Perth,Female,42,6,0,Divorced,83630.54,Diploma,1,1,0,180702.12,1
2441,28790659,701,Melborne,Male,59,7,0,Single,57928.89,Bachelors,2,0,1,27597.59,0
2442,28691446,735,Melborne,Male,29,10,0,Married,96988.04,Diploma,2,1,1,95025.27,0
2443,28772632,680,Perth,Female,34,1,0,Divorced,5738.48,Bachelors,2,1,0,167035.07,0
2444,28706587,560,Perth,Male,57,0,0,Married,64231.63,Bachelors,2,0,1,116781.71,0
2445,28572461,663,Brisbane,Female,29,4,102714.65,Married,59312.49,Bachelors,2,0,0,21170.81,0
2446,28654409,665,Perth,Female,34,5,67816.72,Divorced,97203.57,Masters,1,1,1,29641.58,0
2447,28568025,758,Perth,Male,51,8,81710.46,Divorced,77023.19,Diploma,1,1,1,116520.07,0
2448,28728769,621,Perth,Male,26,2,75237.54,Divorced,53610.49,Bachelors,1,0,1,44220.4,0
2449,28667458,764,Brisbane,Male,28,10,124023.18,Married,66555.22,Bachelors,1,1,0,166188.28,0
2450,28567980,537,Brisbane,Female,46,5,100727.5,Married,45801.04,Bachelors,1,0,1,140857.76,1
2451,28679294,589,Perth,Female,46,10,107238.85,Married,36975.1,Masters,2,1,0,37024.28,0
2452,28606507,555,Perth,Male,24,5,0,Married,47196.2,Diploma,2,1,0,27513.47,0
2453,28578825,734,Perth,Female,29,0,139994.66,Married,73665.77,Bachelors,1,1,0,17744.72,0
2454,28619935,783,Melborne,Female,59,9,126224.87,Single,60884.5,Bachelors,1,1,1,4423.63,0
2455,28636089,678,Brisbane,Female,51,1,145751.03,Married,96072.85,Bachelors,1,0,0,109718.44,1
2456,28727490,661,Perth,Male,47,5,0,Single,35325.64,Masters,1,0,1,107243.31,1
2457,28591766,607,Melborne,Female,25,4,121166.89,Single,85664.64,Bachelors,1,0,1,115288.24,0
2458,28641629,537,Melborne,Female,38,1,0,Single,53632.72,Bachelors,2,0,1,41233.97,0
2459,28813303,513,Melborne,Male,88,10,0,Single,82442.24,Masters,2,1,1,52952.24,0
2460,28756920,576,Perth,Male,63,9,70655.48,Married,24865.38,Bachelors,1,0,0,78955.8,1
2461,28726403,660,Brisbane,Male,41,1,129901.21,Divorced,17005.17,Bachelors,1,1,0,26025.6,1
2462,28592765,637,Perth,Male,40,8,125470.81,Divorced,17402.96,Bachelors,1,1,1,174536.17,0
2463,28704442,672,Perth,Female,53,9,169406.33,Single,40083.37,Bachelors,4,1,1,147311.47,1
2464,28641136,629,Perth,Male,32,2,0,Single,10672.11,Bachelors,2,0,1,77965.44,0
2465,28725818,583,Brisbane,Male,40,4,107041.3,Single,24591.88,Diploma,1,1,1,5635.63,0
2466,28612071,763,Melborne,Female,32,10,95153.77,Divorced,9968.9,Masters,1,0,1,81310.1,0
2467,28719809,516,Brisbane,Male,32,3,145166.09,Single,85870.05,Bachelors,2,0,0,111421.45,0
2468,28716518,617,Perth,Female,27,4,0,Single,45389.17,Masters,2,0,0,190269.21,0
2469,28742210,700,Perth,Male,38,9,65962.63,Married,23758.67,Masters,1,1,1,100950.48,0
2470,28630617,727,Brisbane,Male,36,6,140418.81,Married,68455.29,Bachelors,1,1,1,113033.73,1
2471,28720838,689,Melborne,Female,31,3,139799.63,Divorced,86899.57,Masters,1,0,1,120663.57,0
2472,28595537,626,Brisbane,Male,49,9,171787.84,Married,37698.28,Masters,2,1,0,187192.23,0
2473,28623196,686,Perth,Male,38,6,149238.97,Married,40287.23,Diploma,1,1,1,97825.23,0
2474,28679249,351,Brisbane,Female,57,4,163146.46,Divorced,97327.91,Masters,1,1,0,169621.69,1
2475,28693199,739,Perth,Female,37,8,0,Divorced,21386.05,Bachelors,2,1,0,191557.1,1
2476,28661219,627,Perth,Male,32,10,0,Married,86305.79,Bachelors,2,1,0,103287.62,0
2477,28617136,451,Brisbane,Female,38,9,61482.47,Single,20784.45,Diploma,1,1,1,167538.66,0
2478,28760294,512,Perth,Female,41,8,145150.28,Single,8004.62,Masters,1,1,0,64869.32,1
2479,28652808,774,Perth,Female,41,5,126670.37,Divorced,19129.8,Bachelors,1,1,0,102426.06,0
2480,28657139,652,Perth,Female,40,8,84390.8,Single,75894.92,Masters,2,0,1,107876.2,0
2481,28803790,638,Brisbane,Male,37,2,89728.86,Married,10164.29,Bachelors,2,1,1,37294.88,0
2482,28764105,475,Perth,Female,57,1,0,Married,26903.85,Diploma,2,1,0,89248.99,0
2483,28672610,567,Melborne,Male,40,4,118628.8,Divorced,73786.55,Bachelors,1,0,0,91973.63,0
2484,28766896,750,Perth,Male,37,3,0,Single,9850.81,Bachelors,2,1,0,16870.2,0
2485,28587735,850,Perth,Male,39,6,96863.13,Married,89304.69,Bachelors,1,1,1,121681.19,0
2486,28659501,753,Perth,Female,38,6,142263.45,Single,31354.66,Diploma,1,0,1,33730.43,0
2487,28745001,683,Melborne,Female,36,7,0,Divorced,58876.22,Bachelors,2,1,0,104786.59,0
2488,28651140,710,Perth,Female,32,3,0,Single,99569.89,Masters,1,1,0,94790.34,0
2489,28571148,645,Melborne,Female,21,1,0,Divorced,92984.37,Diploma,2,0,0,28726.07,0
2490,28776824,714,Perth,Male,28,6,122724.37,Married,62648.25,Bachelors,1,1,1,67057.27,0
2491,28633141,696,Brisbane,Female,35,4,174902.26,Married,20401.25,Bachelors,1,1,0,69079.85,0
2492,28764174,612,Melborne,Female,26,4,0,Single,45076.99,Masters,2,1,1,179780.74,0
2493,28778285,520,Brisbane,Female,31,3,108914.17,Divorced,12443.53,Bachelors,1,1,1,183572.39,1
2494,28728920,782,Melborne,Male,23,10,98052.66,Married,94861.74,Diploma,1,1,1,142587.32,0
2495,28671917,666,Perth,Male,46,5,123873.19,Married,21841.87,Masters,1,1,1,177844.06,0
2496,28666548,466,Brisbane,Female,56,2,111920.13,Married,83640.14,Bachelors,3,1,0,197634.11,1
2497,28625623,567,Perth,Female,45,4,0,Divorced,17233.58,Bachelors,2,0,1,121053.19,0
2498,28748123,613,Perth,Male,20,3,0,Divorced,45887.49,Bachelors,2,1,1,149613.77,0
2499,28648735,718,Perth,Male,37,8,0,Divorced,92469.64,Masters,2,1,1,142.81,0
2500,28634974,614,Perth,Female,37,8,75150.34,Divorced,33825.1,Diploma,4,0,1,131766.67,1
2501,28713378,711,Perth,Male,38,10,0,Married,73970.03,Bachelors,2,0,0,53311.78,0
2502,28753370,691,Brisbane,Female,38,5,114753.76,Single,9310.32,Bachelors,1,1,0,107665.02,0
2503,28782659,527,Perth,Male,32,0,0,Married,79858.34,Diploma,1,1,0,109523.88,0
2504,28583364,476,Perth,Female,32,6,111871.93,Married,46093.4,Diploma,1,0,0,112132.86,0
2505,28625942,619,Melborne,Female,45,0,0,Single,24318.05,Bachelors,2,0,0,113645.4,0
2506,28720284,607,Brisbane,Female,37,4,135927.06,Divorced,54750.7,Diploma,1,0,0,180890.4,0
2507,28679642,695,Melborne,Male,44,8,0,Divorced,78811.84,Bachelors,2,1,1,70974.13,0
2508,28628007,653,Perth,Male,33,1,0,Single,17166.07,Bachelors,2,0,0,53379.52,0
2509,28661974,677,Perth,Male,46,2,57037.74,Single,99882.13,Bachelors,1,1,1,158531.01,0
2510,28689341,655,Perth,Female,50,10,0,Married,66476.89,Bachelors,4,1,0,179267.94,1
2511,28607993,625,Perth,Female,52,2,79468.96,Married,36807.75,Bachelors,1,1,1,84606.03,0
2512,28693267,679,Brisbane,Female,34,7,121063.85,Divorced,30017.4,Bachelors,1,1,0,56984.58,0
2513,28769522,734,Perth,Male,51,1,118537.47,Single,66129.31,Masters,1,1,1,116912.45,0
2514,28755825,666,Perth,Male,39,10,0,Single,70098.38,Bachelors,2,1,0,102999.33,0
2515,28598175,592,Brisbane,Female,26,4,105082.07,Single,17464.25,Diploma,2,1,0,132801.57,0
2516,28744327,564,Perth,Male,40,4,0,Single,26038.08,Masters,1,1,0,85455.62,1
2517,28798666,814,Perth,Female,36,6,0,Married,53962.49,Masters,2,1,1,98657.01,0
2518,28577064,592,Brisbane,Male,36,2,104702.65,Single,54789.36,Bachelors,2,1,0,107948.72,0
2519,28759436,758,Perth,Female,50,2,95813.76,Single,24891.88,Diploma,3,1,1,67944.09,1
2520,28690231,612,Melborne,Female,62,0,167026.61,Single,74679.17,Bachelors,2,1,1,192892.05,0
2521,28752861,498,Brisbane,Male,61,7,102453.26,Divorced,16781.44,Bachelors,1,1,0,187247.56,1
2522,28739068,638,Brisbane,Male,25,4,148045.45,Married,15573.64,Bachelors,2,1,1,114722.42,0
2523,28758056,558,Perth,Male,35,1,0,Married,93466.67,Bachelors,2,0,0,111687.57,0
2524,28742269,756,Perth,Female,24,1,0,Married,36121.17,Masters,2,1,0,184182.25,0
2525,28726490,782,Melborne,Male,52,4,0,Divorced,18457.91,Diploma,1,1,1,52759.82,1
2526,28738411,505,Perth,Male,34,10,104498.79,Married,13967.23,Bachelors,1,0,1,126451.14,0
2527,28727919,671,Melborne,Female,29,6,0,Single,50205.11,Bachelors,2,0,0,12048.67,0
2528,28709396,801,Perth,Male,42,6,0,Single,16613.11,Bachelors,2,1,1,95804.33,0
2529,28654106,604,Perth,Male,26,8,149542.52,Divorced,78195.62,Masters,2,0,1,197911.52,0
2530,28621653,716,Perth,Female,29,10,87946.39,Married,45427.36,Masters,1,1,1,182531.74,0
2531,28598086,624,Perth,Female,45,3,68639.57,Divorced,75140.16,Diploma,1,1,0,168002.31,1
2532,28752300,607,Brisbane,Male,47,4,148826.32,Married,51529.09,Bachelors,1,1,1,79450.61,0
2533,28658693,827,Perth,Female,60,2,0,Married,77778.65,Bachelors,2,0,1,60615.83,0
2534,28631838,606,Perth,Male,61,5,108166.09,Single,41219.21,Masters,2,0,1,8643.21,0
2535,28803804,717,Brisbane,Female,35,5,103214.71,Married,56461.44,Bachelors,1,1,0,172172.7,0
2536,28578809,651,Brisbane,Male,40,1,134760.21,Married,38974.54,Bachelors,2,0,0,174434.06,1
2537,28752026,691,Perth,Male,58,3,0,Married,15246,Masters,1,0,1,194930.3,1
2538,28723706,573,Perth,Female,33,0,90124.64,Divorced,7531.3,Diploma,1,1,0,137476.71,0
2539,28752838,723,Melborne,Male,38,6,0,Divorced,23182.35,Masters,2,1,1,94415.6,0
2540,28569571,584,Brisbane,Female,46,6,87361.02,Divorced,24569.84,Bachelors,2,1,0,120376.87,1
2541,28769703,550,Brisbane,Female,45,8,111257.59,Married,67656.27,Masters,1,0,0,97623.42,1
2542,28679770,611,Perth,Female,61,3,131583.59,Single,92368.52,Masters,4,0,1,66238.23,1
2543,28791102,549,Brisbane,Male,41,9,95020.8,Married,72666.49,Masters,3,1,1,131710.59,1
2544,28655192,850,Melborne,Female,24,1,0,Single,23630.72,Masters,2,0,1,69052.87,0
2545,28709487,,Brisbane,Male,34,5,80242.37,Single,6945.63,Bachelors,2,0,,56780.97,0
2546,28687130,686,Perth,Female,43,0,0,Single,59664.01,Bachelors,1,1,1,170072.9,0
2547,28755178,660,Perth,Male,50,1,0,Single,66219.15,Bachelors,3,1,1,191849.15,1
2548,28634772,682,Melborne,Female,59,0,122661.39,Single,26193.1,Bachelors,1,0,1,84803.76,0
2549,28617197,524,Perth,Male,50,4,0,Single,14593.34,Diploma,2,1,1,31840.59,1
2550,28631240,645,Perth,Female,36,8,0,Married,14827.03,Masters,2,1,1,12096.61,1
2551,28784301,850,Perth,Male,42,0,0,Divorced,38222.12,Bachelors,2,1,0,44165.84,0
2552,28631310,537,Perth,Female,53,3,0,Married,21326.73,Bachelors,1,1,1,91406.62,0
2553,28756560,599,Melborne,Female,46,7,81742.84,Divorced,80671.16,Diploma,2,1,0,83282.21,0
2554,28732270,727,Melborne,Male,71,8,0,Divorced,69235.34,Bachelors,1,1,1,198446.91,1
2555,28739357,756,Melborne,Male,30,2,145127.85,Single,85187,Masters,1,0,0,7554.68,0
2556,28772840,755,Perth,Male,38,9,148912.44,Divorced,39439.85,Masters,1,1,0,80416.16,0
2557,28567486,634,Melborne,Female,41,4,0,Single,35995.72,Bachelors,2,1,1,164549.74,0
2558,28714634,837,Perth,Male,26,4,89900.24,Single,88999.85,Diploma,2,1,0,175477.03,0
2559,28727021,727,Brisbane,Female,30,8,119027.28,Single,91807.06,Masters,2,1,1,137903.54,0
2560,28650670,567,Brisbane,Female,40,2,105222.86,Divorced,75413.6,Bachelors,2,1,0,93795.86,0
2561,28711834,650,Melborne,Female,30,6,0,Single,75074.8,Masters,1,0,0,67997.13,1
2562,28729763,655,Melborne,Male,34,1,116114.93,Single,37592.92,Masters,1,1,1,49492.15,0
2563,28646566,763,Perth,Female,58,9,187911.55,Married,91806.04,Diploma,1,0,1,35825.18,0
2564,28645463,843,Perth,Female,27,5,0,Divorced,53459.08,Bachelors,2,1,1,67494.23,0
2565,28672144,667,Perth,Female,38,6,144432.04,Married,80166.51,Bachelors,1,1,1,73963.17,1
2566,28596088,705,Perth,Female,50,4,77065.9,Single,65816.23,Diploma,2,0,1,145159.26,0
2567,28614878,660,Brisbane,Female,29,6,180520.29,Single,49556.9,Bachelors,1,1,1,123850.58,0
2568,28635240,553,Perth,Male,42,1,0,Single,49230.02,Bachelors,2,0,0,23822.04,0
2569,28775905,612,Brisbane,Female,47,6,130024.87,Married,90497.43,Bachelors,1,1,1,45750.21,1
2570,28700657,641,Brisbane,Female,40,2,110086.69,Divorced,11244.19,Diploma,1,1,0,159773.14,0
2571,28611905,513,Melborne,Female,31,5,174853.46,Divorced,24740.66,Bachelors,1,1,0,84238.63,0
2572,28652527,680,Perth,Male,44,7,108724.98,Single,62301.04,Diploma,1,0,1,72330.46,0
2573,28785865,711,Perth,Male,58,9,91285.13,Married,53472.64,Bachelors,2,1,1,26767.85,0
2574,28645942,689,Melborne,Male,40,2,0,Single,54288.28,Bachelors,2,1,1,164768.82,0
2575,28688691,665,Brisbane,Female,51,9,110610.41,Single,36637.02,Bachelors,2,0,1,1112.76,1
2576,28592736,551,Brisbane,Male,54,5,102994.04,Divorced,13249.38,Bachelors,1,1,0,176680.16,1
2577,28673529,645,Melborne,Male,36,4,59893.85,Single,31285.13,Diploma,2,1,0,43999.64,0
2578,28724145,616,Brisbane,Male,29,8,149318.55,Divorced,40000.13,Bachelors,1,1,0,140746.13,0
2579,28704629,582,Perth,Female,32,1,116409.55,Single,20716.56,Bachelors,1,0,1,152790.92,0
2580,28597896,365,Brisbane,Male,30,0,127760.07,Married,25305.54,Bachelors,1,1,0,81537.85,1
2581,28731790,697,Brisbane,Female,38,6,132591.36,Married,46541.88,Bachelors,1,1,1,7387.8,1
2582,28634719,704,Perth,Male,31,0,0,Married,45562.66,Masters,2,1,0,183038.33,0
2583,28703205,656,Perth,Female,46,5,113402.14,Married,84180.82,Diploma,2,1,1,138849.06,0
2584,28567333,712,Perth,Female,31,7,0,Single,39536.39,Bachelors,2,1,0,170333.38,0
2585,28754537,748,Perth,Male,40,0,0,Single,41000.38,Bachelors,1,0,0,60416.76,0
2586,28612030,724,Perth,Male,28,9,0,Single,88576.35,Bachelors,2,1,1,100240.2,0
2587,28573242,691,Perth,Male,50,6,136953.47,Married,78869,Bachelors,1,1,1,2704.98,0
2588,28601892,563,Perth,Male,33,8,0,Single,51775.87,Bachelors,2,0,1,68815.05,0
2589,28663885,741,Perth,Male,32,5,0,Divorced,80266.56,Bachelors,1,1,1,64839.23,0
2590,28701096,778,Perth,Male,44,8,123863.64,Single,84651.77,Diploma,1,1,0,144494.94,0
2591,28710450,848,Melborne,Male,22,7,120811.89,Married,22035.34,Diploma,1,1,1,185510.34,0
2592,28790846,634,Brisbane,Male,38,2,148430.55,Divorced,86373.99,Bachelors,1,1,1,56055.72,0
2593,28658956,505,Brisbane,Male,40,6,47869.69,Divorced,58063.97,Bachelors,2,1,1,155061.97,0
2594,28755223,692,Brisbane,Male,53,7,150926.99,Single,36353.3,Masters,2,0,0,119817.19,0
2595,28787318,537,Brisbane,Female,47,6,103163.35,Married,41470.57,Bachelors,1,1,0,16259.64,1
2596,28737310,633,Perth,Male,29,10,130206.28,Married,37922.13,Masters,1,1,0,184654.87,0
2597,28763665,,Perth,Female,28,4,136674.51,Single,49975.31,Diploma,2,0,0,5278.78,0
2598,28668818,,Melborne,Female,40,2,200322.45,Married,57600.64,Diploma,1,1,1,113244.73,0
2599,28765812,587,Melborne,Male,48,1,0,Married,43097.72,Diploma,2,1,1,8908,0
2600,28704844,550,Melborne,Male,62,7,80927.56,Married,17738.35,Bachelors,1,0,1,64490.67,0
2601,28744582,680,Perth,Female,24,10,0,Divorced,75900.68,Diploma,3,1,0,154971.63,1
2602,28616700,622,Melborne,Female,41,9,0,Married,29276.04,Diploma,2,1,1,155786.39,0
2603,28683521,594,Brisbane,Male,28,0,142574.71,Single,8006.39,Bachelors,2,1,0,129084.82,0
2604,28583049,643,Brisbane,Female,34,7,160426.07,Married,50882.82,Bachelors,1,0,1,188533.11,0
2605,28643752,540,Perth,Male,25,5,116160.23,Divorced,64892.39,Bachelors,1,1,0,13411.67,0
2606,28620398,635,Melborne,Female,34,5,98683.47,Married,77978.38,Bachelors,2,1,0,15733.19,0
2607,28728707,657,Perth,Male,32,3,118829.03,Married,10629.95,Bachelors,2,1,1,73127.61,0
2608,28814209,814,Perth,Male,31,1,118870.92,Single,32775.04,Diploma,1,1,0,101704.19,0
2609,28733768,600,Perth,Male,32,1,0,Divorced,48195.7,Diploma,1,1,1,101986.16,0
2610,28755242,682,Perth,Female,46,2,0,Married,84988.01,Diploma,1,1,1,114442.66,0
2611,28729412,682,Perth,Male,38,4,107192.38,Single,17520.16,Diploma,1,1,1,15669.17,0
2612,28746564,566,Perth,Male,42,3,108010.78,Divorced,14230.75,Bachelors,1,1,1,157486.1,0
2613,28588446,550,Melborne,Male,34,3,0,Married,9099.1,Masters,2,0,0,131281.28,0
2614,28665221,630,Perth,Male,26,7,129837.72,Single,15314.19,Bachelors,2,0,1,197001.15,0
2615,28640846,546,Brisbane,Female,58,3,106458.31,Divorced,52633.97,Masters,4,1,0,128881.87,1
2616,28700209,486,Perth,Male,63,9,97009.15,Divorced,48363.92,Masters,1,1,1,85101,0
2617,28658360,762,Melborne,Male,35,9,122929.42,Married,98559.43,Diploma,2,0,0,149822.04,0
2618,28602735,692,Brisbane,Male,45,6,152296.83,Single,75954.44,Bachelors,4,0,1,108040.86,1
2619,28724834,498,Perth,Female,30,1,0,Single,66957.49,Bachelors,2,0,0,135795.53,0
2620,28800062,850,Melborne,Male,49,8,0,Married,60011.84,Masters,1,0,0,25867.67,1
